concept,t_count,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
civilRights,25,5,0.012543903662819869,9.302753444467763,0.017145114759967148,4.0,,,,,0.01932367149758454,,0.2222222222222222,,,,,0.8247422680412371,,,,,,,,0.125,,0.037383177570093455,,,,
clintonScandal,2,1,0.0010035122930255895,1.414973347970818,0.0014199431489922908,1.0,,,,,,,,,,,,,,,0.017241379310344827,,,,,,,,,,,
controversy,90,16,0.045158053186151514,16.35999422112138,0.04468640635509192,5.0,0.3076923076923077,0.018726591760299626,2.672413793103448,0.06493506493506494,0.12077294685990338,,,0.1282051282051282,,,0.18518518518518517,0.20618556701030927,,0.2040816326530612,0.3448275862068966,2.5641025641025643,0.3448275862068966,,0.2542372881355932,,0.14925373134328357,0.09345794392523364,,0.05952380952380952,,
cyberSecurity,49,1,0.02458605117912694,5.659893391883272,0.034788607150311124,2.0,,0.3670411985018726,,,,,,,,,,,,,,,,,,,,,,,,
democrat,238,18,0.11941796287004514,37.037499941703174,0.1256905859447732,0.2,0.03076923076923077,0.02621722846441948,,,0.003864734299516908,0.07567567567567568,0.07222222222222223,0.030769230769230767,0.014285714285714285,0.08444444444444443,,0.09690721649484538,0.08333333333333331,0.012244897959183675,0.006896551724137931,,0.1310344827586207,0.03666666666666667,,,,0.022429906542056077,0.03278688524590164,,0.010101010101010104,0.0018018018018018018
economy,26,10,0.013045659809332663,9.763484282999256,0.015033636253308657,5.0,,0.018726591760299626,,,0.12077294685990336,,0.1388888888888889,1.282051282051282,,0.11111111111111112,,,,,0.08620689655172414,0.1282051282051282,,0.25,0.0847457627118644,,,,0.0819672131147541,,,
education,3,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,3.0,,,,0.03896103896103896,0.02898550724637681,,,,,,,,,,,,,,,,,,,,,
election,179,19,0.08981435022579022,21.711675202939322,0.05842303644470632,1.0,0.09230769230769231,0.2172284644194757,0.05172413793103448,0.012987012987012988,0.057971014492753624,0.10810810810810811,,,0.17857142857142855,0.15555555555555556,,0.07216494845360824,0.14583333333333334,0.01020408163265306,0.05172413793103449,,0.06896551724137931,0.35,0.06779661016949153,,,0.11214953271028037,0.22950819672131145,,0.020202020202020204,0.06306306306306307
energy,3,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,,,,0.004830917874396135,,,,,0.022222222222222223,,,,,,,,0.016666666666666666,,,,,,,,
environment,2,2,0.0010035122930255895,1.1139433523068367,0.001117855847774046,3.0,,,,,0.014492753623188404,,,,,,,,,,,,,0.05,,,,,,,,
extremeRight,13,6,0.006522829904666332,3.642860052584491,0.006510844757485685,1.0,0.03076923076923077,0.003745318352059925,,0.06493506493506493,,,,,,,,,,,0.008620689655172414,,,,0.03389830508474576,,,0.018691588785046728,,,,
fbiMisconduct,10,2,0.005017561465127948,2.5289167002776547,0.006646584793134088,5.0,,,,,,,,,,,,,,0.0510204081632653,,,,,,,0.6716417910447761,,,,,
foreignLeader,3,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,0.011235955056179775,,,,,,,,,,,,,,,,,,,,,,,,
foreignNation,12,1,0.006021073758153537,1.414973347970818,0.008519658893953745,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,
foreignTrade,5,2,0.002508780732563974,2.829946695941636,0.0035498578724807274,5.0,,0.056179775280898875,,,,,,,,,,,,,,,,,,,,,,0.11904761904761904,,
formerPresident,25,11,0.012543903662819869,3.756803404891328,0.009452224712007578,1.0,,,,0.06493506493506493,,,0.027777777777777776,0.02564102564102564,,0.022222222222222223,,,,,,,,0.06666666666666667,0.01694915254237288,0.0625,0.029850746268656716,0.009345794392523364,,0.023809523809523808,0.05050505050505051,
government,71,20,0.03562468640240842,15.78293649876347,0.031258241568577795,1.0,,0.04868913857677903,,0.06493506493506493,0.03864734299516908,0.02702702702702703,0.027777777777777776,0.07692307692307693,0.03571428571428571,,0.07407407407407407,0.020618556701030927,0.0625,0.02040816326530612,0.02586206896551724,,0.034482758620689655,0.08333333333333333,,,0.11940298507462686,0.037383177570093455,0.03278688524590164,0.023809523809523808,0.030303030303030304,0.018018018018018018
guns,7,3,0.003512293025589563,3.9438900482484724,0.004667713720254773,10.0,,,,,0.24154589371980675,,,,,,,,,,,,,,,,,0.09345794392523364,0.1639344262295082,,,
immigration,16,4,0.008028098344204716,4.705650882443947,0.008965559970063453,5.0,,,,,0.04830917874396135,,,,,,,,,,,,,,,0.15625,,,0.0819672131147541,0.7142857142857142,,
independent,7,5,0.003512293025589563,2.2278867046136734,0.003459364515381793,1.0,,,,,,,0.05555555555555555,,,,,,,,,,0.06896551724137931,0.016666666666666666,,,,,,,0.010101010101010102,0.009009009009009009
intelligence,6,2,0.0030105368790767683,2.5289167002776547,0.0036556548445403824,1.0,,0.018726591760299626,,,,,,,,,,,,0.01020408163265306,,,,,,,,,,,,
internationalPolitics,5,3,0.002508780732563974,0.9378520932511555,0.00235286526154329,1.0,,0.003745318352059925,,0.025974025974025976,,,,0.05128205128205128,,,,,,,,,,,,,,,,,,
