,DSI,link,title
0,DSI-0,https://www.buzzfeed.com/henrygomez/supporting-john-kasich-has-become-an-attack-line-in-ohios?utm_term=4ldqpia,Supporting John Kasich Has Become An Attack Line In Ohio's Governor's Race
1,DSI-1,https://www.buzzfeed.com/rubycramer/democrats-know-hackers-will-be-back-in-2018-the-problem?utm_term=4ldqpia,Democrats Know Hackers Will Be Back In 2018. The Problem? Forcing Campaigns To Care.
2,DSI-2,https://www.buzzfeed.com/chrisgeidner/stormy-daniels-accuses-trump-lawyer-michael-cohen?utm_term=4ldqpia,Stormy Daniels Accuses Trump Lawyer Michael Cohen Of Defamation
3,DSI-3,https://www.buzzfeed.com/henrygomez/trump-brings-christmas-for-neocons?utm_term=4ldqpia,"Trump Brings ""Christmas For Neocons"""
4,DSI-4,https://www.buzzfeed.com/henrygomez/its-a-former-nfl-player-vs-a-donald-trump-acolyte-in-a?utm_term=4ldqpia,It's A Former NFL Player Vs. A Donald Trump Acolyte In A Battle For The Soul Of The Republican Party In Ohio
5,DSI-5,https://www.buzzfeed.com/darrensands/atlanta-will-bid-to-host-the-2020-democratic-national?utm_term=4ldqpia,Atlanta Will Bid To Host The 2020 Democratic National Convention
6,DSI-6,https://www.buzzfeed.com/darrensands/sources-kamala-harris-expected-to-endorse-ben-jealous-in?utm_term=4ldqpia,Sources: Kamala Harris Expected To Endorse Ben Jealous In The Race For Maryland Governor
7,DSI-7,https://www.buzzfeed.com/bensmith/facebook-friend-mark-penn?utm_term=4ldqpia,Lessons From Tech's Last Political Crisis
8,DSI-8,https://www.buzzfeed.com/chrisgeidner/supreme-court-wont-stop-new-pennsylvania-congressional-map?utm_term=4ldqpia,The Supreme Court Won't Stop A New Pennsylvania Congressional Map Favored By Democrats From Going Into Effect This Year
9,DSI-9,https://www.buzzfeed.com/darrensands/carolyn-maloney-suraj-patel-campaign-fundraising?utm_term=4ldqpia,Carolyn Maloney: Suraj Patel’s Campaign Donors Include “A Huge Amount Of The Name Patel”
10,DSI-10,https://www.buzzfeed.com/chrisgeidner/andrew-mccabe-memos-trump-fbi-sessions-comey?utm_term=4ldqpia,"Andrew McCabe, The Fired Former No. 2 At The FBI, Wrote Memos About His Interactions With Trump"
11,DSI-11,https://www.buzzfeed.com/rubycramer/california-newsom-renteria-metoo?utm_term=4ldqpia,A #MeToo Fight Has Erupted Between Two Democrats
12,DSI-12,https://www.buzzfeed.com/darrensands/in-the-tense-georgia-democratic-primary-stacey-abrams-made?utm_term=4ldqpia,"In The Tense Georgia Democratic Primary, Stacey Abrams Made A Hard Appeal For Black Lawmakers' Support"
13,DSI-13,https://www.buzzfeed.com/davidmack/trump-lawyer-john-dowd-mueller-mccabe-rosenstein?utm_term=4ldqpia,Trump's Lawyer Said He Wants The Mueller Probe Shut Down
14,DSI-14,https://www.buzzfeed.com/chrisgeidner/jeff-sessions-fires-the-former-no-2-at-the?utm_term=4ldqpia,Jeff Sessions Has Fired The Former No. 2 At The FBI Two Days Before His Scheduled Retirement
15,DSI-15,https://www.buzzfeed.com/chrisgeidner/trump-joins-legal-fight-in-stormy-daniels-lawsuit-to-end?utm_term=4ldqpia,"Trump Joins Legal Fight In Stormy Daniels' Lawsuit To End Her ""Hush Agreement"""
16,DSI-16,https://www.buzzfeed.com/lissandravilla/a-congressman-accused-of-sexual-harassment-is-now?utm_term=4ldqpia,A House Democrat Accused Of Sexual Harassment Is Now Definitely Not Running For Reelection
17,DSI-17,https://www.buzzfeed.com/ryancbrooks/dccc-emails-democrats?utm_term=4ldqpia,This Is B-A-D: Some Democrats Are Sick Of A DIRE Email Strategy
18,DSI-18,https://www.buzzfeed.com/darrensands/omarosa-heritage-president-blocked-from-administration?utm_term=4ldqpia,Omarosa: A Conservative Think Tank President Was Blocked From The Administration “Because She Hates Donald Trump”
19,DSI-19,https://www.buzzfeed.com/chrisgeidner/a-prominent-liberal-judge-from-the-9th-circuit-court-has?utm_term=4ldqpia,A Prominent Liberal Judge From The 9th Circuit Court Has Died At 87
20,DSI-20,https://www.buzzfeed.com/chrisgeidner/jeff-sessions-is-not-appointing-a-second-special-counsel?utm_term=4ldqpia,"Jeff Sessions Is Not Appointing A Second Special Counsel, But Reviews Will Continue"
21,DSI-21,https://www.buzzfeed.com/mollyhensleyclancy/a-liberal-judge-won-in-wisconsin-and-thats-a-bad-sign-for?utm_term=4ldqpia,A Liberal Judge Won In Wisconsin — And That's A Bad Sign For Republicans This Year
22,DSI-22,https://www.buzzfeed.com/katherinemiller/wisconsin-judicial-election-state-supreme-court-results?utm_term=4ldqpia,A Liberal Judge Has Defeated Her Conservative Opponent In A Closely Watched Wisconsin Supreme Court Election
23,DSI-23,https://www.buzzfeed.com/talalansari/trump-said-he-will-deploy-the-military-at-the-border-and?utm_term=4ldqpia,Trump Said He Will Deploy The Military At The Mexico Border Until The Wall Is Built
24,DSI-24,https://www.buzzfeed.com/henrygomez/new-poll-new-hampshire-republicans-arent-totally-sold-on?utm_term=4ldqpia,New Poll: New Hampshire Republicans Aren't Totally Sold On Trump 2020
25,DSI-25,https://www.buzzfeed.com/henrygomez/scott-walker-is-quietly-keeping-his-national-profile-alive?utm_term=4ldqpia,Scott Walker Is Quietly Keeping His National Profile Alive
