,DSI,link,title
0,DSI-0,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/aaxBNGuVlbc/index.html,WH official: Jackson vouching for Trump helped win VA job
1,DSI-1,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/3SBBy2tO2nI/index.html,"David Shulkin out, Ronny Jackson in as VA secretary"
2,DSI-2,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/lUT9ZXcafXg/index.html,"Who is Dr. Ronny Jackson, Trump's new pick to head the VA?"
3,DSI-3,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/TL9TVmCKYVg/index.html,Justice Dept. IG looking at allegations of FBI surveillance abuses
4,DSI-4,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/0lqRFv6HqFE/index.html,NYT: Trump lawyer floated idea of presidential pardons for Manafort and Flynn
5,DSI-5,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/DmRuZrE8AZM/index.html,Trump steps back from the spotlight amid storm of allegations
6,DSI-6,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/O6e31y7XiQQ/index.html,An unheard-of problem: The President can't find a lawyer
7,DSI-7,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/8C3LF8SeEWs/index.html,Indicted Missouri governor to run radio ad warning of liberals 'hell-bent' on stopping his agenda
8,DSI-8,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/hi3LT8D7qdg/index.html,Dramatic night-vision video captures US raid to kill ISIS fighters
9,DSI-9,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/l9Bjc_RMagc/index.html,Emails reveal DOJ would have 'very little involvement' if Trump tweeted a pardon
10,DSI-10,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/QaUGho0kBRA/index.html,Kellyanne Conway's husband is still trolling the White House
11,DSI-11,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/7kBVsSWHLKE/index.html,Trump campaign rallies supporters on Census citizenship question
12,DSI-12,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/04fH0-UIXcs/index.html,Biden: 'I shouldn't have said' I would fight Trump
13,DSI-13,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/Ed6vZMkzFyc/index.html,Surprise meetings and potential pitfalls. Trump preps for North Korea
