,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56
donaldTrump,298,presidentDonaldTrump,42,0.06126644736842105,0.13262556527459096,0.008125497214602819,1.0,0.016129032258064516,0.17142857142857143,0.1346153846153846,0.08,0.0641025641025641,0.10410958904109589,0.03523489932885906,0.15384615384615385,0.08108108108108109,,0.18181818181818182,0.019230769230769232,,0.12962962962962962,0.2376237623762376,,0.05673758865248227,0.018867924528301886,0.03571428571428571,,0.05,,,,,,0.13559322033898305,0.03389830508474576,0.046153846153846156,0.012987012987012988,0.10526315789473684,0.1724137931034483,0.021739130434782608,0.014492753623188406,,,0.018957345971563982,0.1,0.21052631578947367,,0.08695652173913043,0.07526881720430108,0.0380952380952381,0.10344827586206896,0.0392156862745098,0.13846153846153847,0.016129032258064516,,,,0.29411764705882354,0.08695652173913043,0.018018018018018018,0.35,0.1095890410958904,0.11904761904761904,0.12195121951219512
fox news,60,media,23,0.012335526315789474,0.3941470196548985,0.0048620109332429915,1.0,0.056451612903225805,0.05714285714285714,0.009615384615384616,0.02,0.01282051282051282,0.03287671232876712,0.013422818791946308,,,,0.030303030303030304,0.07692307692307693,0.02127659574468085,0.018518518518518517,0.009900990099009901,,0.010638297872340425,,,,,,,,,,,,0.015384615384615385,,0.02631578947368421,,0.021739130434782608,0.014492753623188406,0.011235955056179775,,0.0071090047393364926,,,,,0.021505376344086023,,,,,,,,,,0.021739130434782608,,,0.0136986301369863,,0.036585365853658534
davidShulkin,59,trumpStaff,8,0.012129934210526315,0.8527848686805478,0.010344224352827369,1.0,,,0.11538461538461539,,0.16666666666666666,0.010958904109589041,,,,,0.2727272727272727,,,0.05555555555555555,0.009900990099009901,,,,,,,,,,,,0.13559322033898305,,,,,,,,,,,,0.23684210526315788,,,,,,,,,,,,,,,,,,
fbi,57,lawEnforcement,13,0.01171875,0.6419315033656546,0.007522634805066266,1.0,0.04032258064516129,,,,,0.01643835616438356,0.010067114093959731,,0.05405405405405406,0.12371134020618557,,,0.05319148936170213,,,,0.0035460992907801418,,0.07142857142857142,0.028846153846153848,,,,,,,,,,,,,0.08695652173913043,0.043478260869565216,,,0.004739336492890996,,,,,,0.05714285714285714,,,,,,,,,,,,,,
unitedStates,48,unitedStates,23,0.009868421052631578,0.3941470196548985,0.003889608746594393,1.0,,,,,,,,,,,,,0.010638297872340425,,0.0297029702970297,,0.0035460992907801418,0.018867924528301886,0.03571428571428571,,,0.12121212121212122,,,0.08333333333333333,,,0.01694915254237288,,0.012987012987012988,,0.034482758620689655,0.021739130434782608,0.014492753623188406,0.011235955056179775,,0.004739336492890996,,,,,0.06451612903225806,,0.09195402298850575,,0.03076923076923077,0.06451612903225806,0.02040816326530612,,0.017857142857142856,,0.010869565217391304,0.018018018018018018,,,,0.024390243902439025
democrat,48,democrat,13,0.009868421052631578,0.6419315033656546,0.006334850362161065,1.0,,,,,,,0.02181208053691275,,,0.020618556701030927,,,,,,,0.031914893617021274,,,0.009615384615384616,,,,0.01694915254237288,,,,,,,,,,,,0.025,0.023696682464454975,0.02,,0.019230769230769232,,0.03225806451612903,0.02857142857142857,0.011494252873563218,0.0392156862745098,,,,,,,,,,,,
republican,44,republican,14,0.009046052631578948,0.6097468199942534,0.005515801825605911,1.0,,,,,,0.0027397260273972603,0.018456375838926176,,,,,,0.02127659574468085,,,,0.031914893617021274,,,,0.025,,,,,,,,,,,,,,,0.025,0.0071090047393364926,0.02,,0.038461538461538464,,0.021505376344086023,0.05714285714285714,0.022988505747126436,,,,,,0.03571428571428571,,,,,0.0136986301369863,,
election,44,election,15,0.009046052631578948,0.5797835966168101,0.005244752929921802,1.0,0.008064516129032258,,,,,0.0027397260273972603,0.02348993288590604,,0.02702702702702703,,,,,,0.009900990099009901,,0.02127659574468085,,,,0.15,,,,,0.03333333333333333,,,0.03076923076923077,,,,,,,,0.0071090047393364926,0.02,,0.019230769230769232,,,,,,,,0.04081632653061224,,,0.029411764705882353,,,,0.0410958904109589,,
andrewMccabe,39,trumpStaff,9,0.008018092105263159,0.8016323462331665,0.0064275619866557355,1.0,0.008064516129032258,,,,,0.010958904109589041,0.003355704697986577,,,0.030927835051546393,,,,,,,,,0.39285714285714285,,,,,,,,,,,,,,0.13043478260869565,0.043478260869565216,,,0.018957345971563982,,,,,,0.009523809523809525,,,,,,,,,,,,,,
investigation,37,russiaElectionInterference,16,0.007606907894736842,0.5517548730165667,0.004197148499509245,1.0,0.03225806451612903,,0.019230769230769232,,,0.005479452054794521,0.003355704697986577,,0.02702702702702703,0.020618556701030927,,,0.05319148936170213,,,,,,,0.038461538461538464,,,,,,,,,,,,,0.021739130434782608,0.014492753623188406,,,0.002369668246445498,0.02,,,0.043478260869565216,,0.05714285714285714,,,,,,,,0.029411764705882353,,,0.075,,,
veteransAffairs,36,government,9,0.007401315789473684,0.8016323462331665,0.00593313414152837,1.0,,,0.08653846153846154,,0.1282051282051282,,0.0016778523489932886,,,,0.18181818181818182,,,0.037037037037037035,0.009900990099009901,,0.0070921985815602835,,,,,,,,,,0.05084745762711865,,,,,,,,,,,,0.05263157894736842,,,,,,,,,,,,,,,,,,
hillaryClinton,36,democrat,8,0.007401315789473684,0.8527848686805478,0.00631173011358958,1.0,,,,,,0.0027397260273972603,0.003355704697986577,,,0.010309278350515464,,,,,,,0.01773049645390071,,,,0.2,,,,,0.16666666666666666,,,0.15384615384615385,,,,,,,,0.009478672985781991,,,,,,,,,,,,,,,,,,,,
