concept,t_count,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56
china,28,3,0.005756578947368422,2.5575072019056577,0.007361246058116614,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004739336492890996,,,,,,,,,,0.14516129032258063,,,,,,0.15315315315315314,,,,
civilRights,42,7,0.00863486842105263,9.155037892323342,0.011850060978764699,4.0,,,,,,,0.006711409395973154,,,,,,,,,,,,,,,,,0.4067796610169492,,,,,,,,,,,,1.0,0.02843601895734597,,,0.38461538461538464,,,,,,,,0.16326530612244897,,1.0714285714285714,,,,,,,
clintonScandal,13,8,0.0026726973684210527,5.722469427025985,0.003521258865009533,1.0,,,,,,,,,,0.020618556701030927,,,0.02127659574468085,,,,,0.03773584905660377,0.03571428571428571,,,,,,,,,,,,,,0.043478260869565216,0.014492753623188406,,,0.002369668246445498,,,,,,0.01904761904761905,,,,,,,,,,,,,,
controversy,81,26,0.01665296052631579,12.603965927934933,0.018506911237512132,5.0,,,0.14423076923076925,,0.0641025641025641,0.136986301369863,0.016778523489932886,0.07692307692307693,,0.15463917525773196,,0.7692307692307693,,0.2777777777777778,,,0.017730496453900707,0.660377358490566,0.3571428571428571,,,,,0.3389830508474576,,,0.1694915254237288,,0.07692307692307693,,,0.1724137931034483,0.43478260869565216,0.14492753623188406,,0.25,0.03554502369668247,0.1,0.13157894736842105,0.38461538461538464,,,0.04761904761904762,,,,0.08064516129032258,,,,,,,,,1.4285714285714284,0.06097560975609756
cyberSecurity,3,1,0.0006167763157894736,1.7558748556724915,0.001082982024469053,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05714285714285714,,,,,,,,,,,,,,
democrat,154,20,0.031661184210526314,19.12809854706802,0.03501545636910468,0.2,0.012903225806451613,,,,,0.0005479452054794521,0.009395973154362415,,,0.006185567010309279,,,,,,,0.011347517730496455,,,0.0019230769230769232,0.04000000000000001,,,0.03728813559322034,,0.03333333333333333,,,0.03076923076923077,,,,,,,0.005000000000000001,0.01042654028436019,0.012,,0.04230769230769232,,0.0064516129032258064,0.005714285714285714,0.0022988505747126436,0.01568627450980392,,0.04516129032258065,,,,,,,,0.0027397260273972603,,
economy,70,17,0.01439144736842105,26.811901163194683,0.020073105196334883,5.0,,,,,0.19230769230769232,0.04109589041095891,0.18456375838926173,0.15384615384615385,,,0.15151515151515152,,,0.09259259259259259,0.24752475247524752,,0.10638297872340426,0.5660377358490566,,0.04807692307692308,,,0.1,,,,,,,,,,,,0.056179775280898875,,0.011848341232227489,0.1,,,,,,,0.09803921568627451,,0.08064516129032258,,,,,,0.6306306306306306,,,,
education,18,6,0.003700657894736842,5.944318176642341,0.005486628788360687,3.0,,,,,,,,,,,,,,,0.0891089108910891,,,,,,,,0.42000000000000004,,,0.30000000000000004,,,,,,,,,,,0.02132701421800948,,,,,0.03225806451612903,,,,,,,,,,,,,0.0410958904109589,,
election,120,27,0.02467105263157895,16.907588148223926,0.021348489387466876,1.0,0.07258064516129031,,0.009615384615384616,,0.01282051282051282,0.019178082191780823,0.05201342281879194,,0.02702702702702703,0.010309278350515464,,,,,0.009900990099009901,,0.035460992907801414,0.018867924528301886,,0.009615384615384616,0.175,,0.02,,,0.03333333333333333,,,0.13846153846153847,0.012987012987012988,,,,0.028985507246376812,,,0.04028436018957346,0.04,,0.019230769230769232,,,0.028571428571428574,,0.0196078431372549,,,0.04081632653061224,,,0.029411764705882353,,,0.025,0.0821917808219178,0.023809523809523808,
ethics,15,11,0.0030838815789473685,6.922041781931188,0.004083683256332569,5.0,,,0.04807692307692308,,,0.0273972602739726,,0.07692307692307693,,0.05154639175257732,0.15151515151515152,,0.15957446808510636,,0.04950495049504951,,,0.09433962264150943,,0.04807692307692308,,,,0.0847457627118644,,,,,,,,,,,,,0.023696682464454978,,,,,,,,,,,,,,,,,,,,
europeanUnion,9,6,0.001850328947368421,2.733598460961339,0.002129073796950435,1.0,,,0.009615384615384616,0.02,,,,,,,0.030303030303030304,,,0.018518518518518517,,,,,,,,0.12121212121212122,,,,,0.01694915254237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extremeLeft,7,3,0.0014391447368421052,5.267624567017474,0.002526958057094457,1.0,,,,,,,0.003355704697986577,,,,,,,,,,,,,,,,,,,,,,,0.03896103896103896,,,,,,,0.004739336492890996,,,,,,,,,,,,,,,,,,,,
extremeRight,7,4,0.0014391447368421052,1.153814864344529,0.0016605065893116164,1.0,,,,,,,0.0050335570469798654,,,,,,,,,,,0.03773584905660377,,,,,,,,,,,,,0.02631578947368421,,,,,,0.002369668246445498,,,,,,,,,,,,,,,,,,,,
fbiMisconduct,49,8,0.010074013157894737,6.201882478525231,0.011744136595412513,5.0,,,,,,,0.06711409395973154,,,0.8762886597938144,,,0.7446808510638296,,,,,,0.17857142857142855,,,,,,,,,,,,,,0.10869565217391304,0.07246376811594203,,,0.011848341232227489,,,,,,0.28571428571428575,,,,,,,,,,,,,,
foreignLeader,12,8,0.0024671052631578946,2.3656216756667447,0.002470694464761383,1.0,0.008064516129032258,,,,,0.0027397260273972603,0.0016778523489932886,,,,,,,,0.009900990099009901,,,,,,,,,,,,,,,,,0.10344827586206896,,,,,0.002369668246445498,,,,,,,,,0.046153846153846156,0.016129032258064516,,,,,,,,,,
foreignNation,26,7,0.0053453947368421045,6.023499422689966,0.006531713851515719,1.0,,,,,,0.0027397260273972603,,,,,,,,,,,,,,,,,,,,,,0.03389830508474576,,,,,,,,,,,,,,,,0.13793103448275862,0.0196078431372549,,0.04838709677419355,,,,,0.03260869565217391,,,,,0.04878048780487805
foreignTrade,38,8,0.007812499999999998,11.411515098565019,0.010657085878571277,5.0,,,,,,0.04109589041095891,0.008389261744966443,,,,,,,,0.19801980198019803,,,,,,,,,,,,,,,,,,,,,,0.011848341232227489,,,,,,,0.1724137931034483,,0.07692307692307693,,,,,,,0.9459459459459458,,,,0.24390243902439024
formerPresident,27,13,0.005550986842105261,6.97319430437857,0.006095364177422363,1.0,0.024193548387096774,,,,0.02564102564102564,0.0027397260273972603,0.0050335570469798654,0.015384615384615385,,,,,,0.018518518518518517,,,,0.05660377358490566,,,,,0.02,,,,,,0.015384615384615385,,,,,,,,0.004739336492890996,,,,,0.021505376344086023,,,,,,,,,,0.06521739130434782,,,,,0.012195121951219513
foundingFather,14,2,0.0028782894736842104,3.2107197156810017,0.004930137333077079,0.1,,,,,,,,,,,,,,,,,0.0003546099290780142,,,,,,,,,,,,,,,,,,,,0.003080568720379147,,,,,,,,,,,,,,,,,,,,
government,163,42,0.03351151315789473,17.716907323123383,0.02628835832382693,1.0,0.056451612903225805,0.02857142857142857,0.10576923076923077,0.04,0.15384615384615385,0.0027397260273972603,0.02516778523489933,0.06153846153846154,,0.07216494845360825,0.18181818181818182,,0.10638297872340426,0.05555555555555555,0.039603960396039604,0.06896551724137931,0.031914893617021274,0.018867924528301886,,0.019230769230769232,,,0.1,0.1016949152542373,0.041666666666666664,,0.05084745762711865,0.06779661016949153,0.046153846153846156,,,,0.043478260869565216,0.014492753623188406,,0.075,0.026066350710900472,0.02,0.05263157894736842,,,0.021505376344086023,0.028571428571428574,0.011494252873563218,0.0784313725490196,0.015384615384615385,0.016129032258064516,0.08163265306122448,,0.017857142857142856,,0.010869565217391304,0.018018018018018018,,0.0136986301369863,0.023809523809523808,0.024390243902439025
governmentProgram,19,4,0.00390625,7.700193032314832,0.005960885022849394,1.0,,,,,,,,,,,,,,,0.019801980198019802,0.27586206896551724,0.021276595744680847,,,,,,,,,,,,,,0.07894736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,
guns,19,8,0.0039062499999999996,8.978946633267661,0.005630404960510853,10.0,,,,,,0.0273972602739726,0.1342281879194631,,,,,,,,,,0.07092198581560283,,,,0.25,,,,,,,,,,,,,,0.11235955056179775,,,,,,,,,,,,,,0.6122448979591837,,,,,,0.273972602739726,,0.12195121951219512
healthcare,34,10,0.006990131578947368,7.376886641939699,0.007618737425810899,5.0,,,0.38461538461538464,,0.4487179487179487,0.0273972602739726,0.04194630872483222,,,,,,,0.2777777777777778,,,0.035460992907801414,,,,,,,,,,0.3389830508474576,,,0.06493506493506494,,,,0.07246376811594203,,,,,0.13157894736842105,,,,,,,,,,,,,,,,,,
immigration,140,14,0.02878289473684211,21.38810662220483,0.03220299811123376,5.0,,1.7142857142857144,,,,,0.016778523489932886,,,,,0.09615384615384616,,,0.49504950495049505,,,,,,,,,,0.625,,,0.5084745762711864,,0.06493506493506494,1.1842105263157894,,,,,,0.011848341232227489,,,,,1.6666666666666665,,1.6666666666666665,1.2745098039215685,,,,,,,0.6521739130434783,,,,,0.6097560975609756
intelligence,22,10,0.004523026315789474,8.933189142706986,0.006336979204525271,1.0,0.03225806451612903,,,,,0.0136986301369863,0.0016778523489932886,,,0.020618556701030927,,,,,,,0.0035460992907801418,0.018867924528301886,,,,0.06060606060606061,,,,,,,,,,,,,,,,0.06,,,,,0.01904761904761905,,,,,,,,,0.010869565217391304,,,,,
internationalPolitics,34,13,0.006990131578947366,14.020174822918058,0.009058991338616554,1.0,,,,,,0.0136986301369863,,,0.02702702702702703,,,,,,,,,0.03773584905660377,,0.019230769230769232,0.025,0.21212121212121213,,,,,,,,,,0.034482758620689655,,0.014492753623188406,,,0.011848341232227489,,,,,,0.009523809523809525,,,0.046153846153846156,0.03225806451612903,,,,,,0.02702702702702703,,,,
judicial,258,31,0.053042763157894704,54.03905535138291,0.0597420603113461,1.0,0.016129032258064516,,,,,0.0273972602739726,0.06879194630872483,0.2923076923076923,0.08108108108108109,0.15463917525773194,,,0.24468085106382978,,,0.034482758620689655,0.04609929078014184,,,0.09615384615384617,,,,,,,0.01694915254237288,0.2711864406779661,0.015384615384615385,0.4025974025974026,,,0.043478260869565216,0.057971014492753624,,0.05,0.026066350710900476,0.04,0.05263157894736842,,,0.06451612903225808,0.10476190476190476,0.011494252873563218,,,,0.163265306122449,,0.05357142857142857,0.08823529411764705,0.010869565217391304,0.02702702702702703,0.1,,0.14285714285714285,0.03658536585365854
