,DSI,link,title
0,DSI-0,http://feeds.foxnews.com/~r/foxnews/politics/~3/Fh4iY5cfWgg/documents-suggest-possible-coordination-between-cia-fbi-obama-wh-and-dem-officials-early-in-trump-russia-probe-investigators.html,"Documents suggest possible coordination between CIA, FBI, Obama WH and Dem officials early in Trump-Russia probe: investigators"
1,DSI-1,http://feeds.foxnews.com/~r/foxnews/politics/~3/wD2m-UvuZC8/trump-shares-photos-border-wall-construction-on-twitter.html,Trump shares photos of border wall construction on Twitter
2,DSI-2,http://feeds.foxnews.com/~r/foxnews/politics/~3/Bs_B6OWwUbc/trump-looks-to-replace-david-shulkin-with-adm-ronny-jackson-as-veterans-affairs-secretary.html,Trump looks to replace David Shulkin with Adm. Ronny Jackson as Veterans Affairs secretary
3,DSI-3,http://feeds.foxnews.com/~r/foxnews/politics/~3/UMHct0XztEU/wife-detained-us-citizen-in-iran-pleads-with-trump-make-our-family-whole-again.html,Wife of detained US citizen in Iran pleads with Trump: 'Make our family whole again'
4,DSI-4,http://feeds.foxnews.com/~r/foxnews/politics/~3/bNX-p7WXE2k/who-is-david-shulkin-3-things-to-know-about-trumps-former-secretary-veterans-affairs.html,Who is David Shulkin? 3 things to know about Trump's former secretary of Veterans Affairs
5,DSI-5,http://feeds.foxnews.com/~r/foxnews/politics/~3/kL4NKPQIyoc/former-trump-administration-officials-from-comey-to-shulkin.html,"Former Trump administration officials, from Comey to Shulkin"
6,DSI-6,http://feeds.foxnews.com/~r/foxnews/politics/~3/xFMOj5HwuuQ/welcome-to-jungle-amazon.html,"Welcome to the jungle, Amazon"
7,DSI-7,http://feeds.foxnews.com/~r/foxnews/politics/~3/JuadffzFCg0/judge-rules-suit-against-trump-over-foreign-gifts-can-move-forward.html,Judge rules suit against Trump over foreign gifts can move forward
8,DSI-8,http://feeds.foxnews.com/~r/foxnews/politics/~3/xUEGrehSxqk/white-house-no-pardons-under-consideration-for-manafort-flynn.html,"White House: No pardons under consideration for Manafort, Flynn"
9,DSI-9,http://feeds.foxnews.com/~r/foxnews/politics/~3/bFjYzTbc6g8/doj-inspector-general-reviews-alleged-fisa-abuses-by-doj-fbi.html,"DOJ Inspector General reviews alleged FISA abuses by DOJ, FBI"
10,DSI-10,http://feeds.foxnews.com/~r/foxnews/politics/~3/U0dBXgqWQGc/fired-va-secretary-shulkin-trump-wasnt-happy-with-slow-improvements-and-neither-am.html,"Fired VA Secretary Shulkin: Trump 'wasn't happy' with slow improvements, and neither am I"
11,DSI-11,http://feeds.foxnews.com/~r/foxnews/politics/~3/pL-GXG5xDFY/corey-lewandowski-suggests-new-york-magazine-reporter-stole-from-him-during-alleged-home-invasion-his-dc-crash-pad.html,Corey Lewandowski suggests New York Magazine reporter stole from him during alleged home invasion of his DC crash pad
12,DSI-12,http://feeds.foxnews.com/~r/foxnews/politics/~3/8mx2y0ok1kA/sessions-federal-prosecutor-evaluating-alleged-fbi-doj-wrongdoing-no-second-special-counsel-for-now.html,"Sessions: Federal prosecutor evaluating alleged FBI, DOJ wrongdoing, no second special counsel for now"
13,DSI-13,http://feeds.foxnews.com/~r/foxnews/politics/~3/BqNdp-jF52U/john-brennan-trumps-nomination-for-va-secretary-is-terribly-misguided.html,John Brennan: Trump's nomination for VA secretary is 'terribly misguided'
