,DSI,link,title
0,DSI-0,https://www.nbcnews.com/politics/politics-news/judge-rejects-trump-request-toss-lawsuit-accusing-him-violating-constitution-n860921?cid=public-rss_20180329,Judge rejects Trump request to toss lawsuit accusing him of violating Constitution
1,DSI-1,https://www.nbcnews.com/politics/politics-news/james-baker-china-holds-key-denuclearization-north-korea-n860846?cid=public-rss_20180329,James Baker: China holds key to denuclearization of North Korea
2,DSI-2,https://www.nbcnews.com/politics/politics-news/last-place-trump-lawyer-michael-cohen-wants-be-courtroom-n860831?cid=public-rss_20180329,Last place Trump lawyer Michael Cohen wants to be is a courtroom
3,DSI-3,https://www.nbcnews.com/politics/white-house/former-trump-lawyer-reportedly-floated-pardons-manafort-gates-n860936?cid=public-rss_20180329,"Former Trump lawyer reportedly floated pardons for Manafort, Flynn"
4,DSI-4,https://www.nbcnews.com/politics/donald-trump/mueller-trump-campaign-s-gates-knew-he-was-speaking-russian-n860861?cid=public-rss_20180329,Mueller: Trump campaign's Gates knew he was speaking to Russian intel agent
5,DSI-5,https://www.nbcnews.com/pop-culture/tv/former-disney-star-caroline-sunshine-joins-trump-administration-n860736?cid=public-rss_20180329,Former Disney star Caroline Sunshine joins Trump administration
6,DSI-6,https://www.nbcnews.com/politics/politics-news/trump-s-legal-team-elevates-andrew-ekonomou-little-known-atlanta-n860676?cid=public-rss_20180329,"Trump's legal team elevates Andrew Ekonomou, little-known Atlanta attorney"
7,DSI-7,https://www.nbcnews.com/politics/first-read/record-number-women-are-running-office-how-are-they-faring-n860691?cid=public-rss_20180329,A record number of women are running for office. How are they faring so far?
8,DSI-8,https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-more-dem-candidates-abandon-pelosi-n860686?cid=public-rss_20180329,First Read's Morning Clips: More Dem candidates abandon Pelosi
9,DSI-9,https://www.nbcnews.com/politics/donald-trump/stormy-daniels-lawyer-files-motion-depose-trump-lawyer-michael-cohen-n860656?cid=public-rss_20180329,"Stormy Daniels' lawyer files motion to depose Trump, lawyer Michael Cohen"
