,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32
donaldTrump,437,presidentDonaldTrump,32,0.1391276663482967,0.013363961557981502,0.0018592967847303138,1.0,0.16279069767441862,0.2403846153846154,0.21739130434782608,0.13953488372093023,0.25,0.18048780487804877,0.11578947368421053,0.09523809523809523,0.19047619047619047,0.02564102564102564,0.15789473684210525,0.058091286307053944,0.26666666666666666,0.14814814814814814,0.0627177700348432,0.02857142857142857,0.17391304347826086,0.13043478260869565,0.1282051282051282,0.12195121951219512,0.16666666666666666,0.1504424778761062,0.25925925925925924,,0.09777777777777778,0.25,0.08,0.18446601941747573,0.2,0.18181818181818182,0.06060606060606061,0.1391304347826087,0.25842696629213485
unitedStates,56,unitedStates,13,0.017828716969118114,0.4045705875710507,0.007212974499834077,1.0,,,,,,0.004878048780487805,0.010526315789473684,,,,,,,0.06944444444444445,0.027874564459930314,0.009523809523809525,,,0.02564102564102564,0.12195121951219512,0.018518518518518517,0.017699115044247787,,,0.035555555555555556,0.09615384615384616,0.02,,,,,0.030434782608695653,
white house,55,trumpStaff,24,0.017510347023241005,0.13830269816628146,0.002421728239142146,1.0,0.046511627906976744,0.019230769230769232,0.014492753623188406,0.06976744186046512,0.022727272727272728,0.03902439024390244,0.010526315789473684,,0.015873015873015872,,0.02631578947368421,,,0.004629629629629629,,,0.043478260869565216,0.014492753623188406,0.02564102564102564,0.07317073170731707,,0.02654867256637168,0.07407407407407407,,0.013333333333333334,0.019230769230769232,0.08,0.05825242718446602,0.016666666666666666,0.006993006993006993,,0.004347826086956522,0.011235955056179775
democrat,52,democrat,10,0.016555237185609677,0.5185139398778874,0.008584121258723381,1.0,,,0.028985507246376812,,,0.02926829268292683,0.010526315789473684,,0.12698412698412698,,,0.08298755186721991,,0.018518518518518517,0.003484320557491289,,,,,,0.018518518518518517,,,,,,,,0.03333333333333333,,,0.030434782608695653,
northKorea,52,northSouthKorea,7,0.016555237185609677,0.6734158998636307,0.011148559946803182,1.0,,,,,,,,,,,,,0.23333333333333334,0.004629629629629629,0.013937282229965157,0.02857142857142857,,,,0.1951219512195122,,0.168141592920354,,,,0.19230769230769232,,,,,,,
campaign,33,election,15,0.010506208213944603,0.3424226808222063,0.0035975639818951947,1.0,0.023255813953488372,0.009615384615384616,,,,,0.010526315789473684,0.047619047619047616,0.06349206349206349,,,0.024896265560165973,,0.004629629629629629,0.006968641114982578,0.01904761904761905,0.10869565217391304,,,,,,,,0.008888888888888889,,,,0.016666666666666666,0.006993006993006993,0.06060606060606061,,0.02247191011235955
twitter,31,controversy,12,0.009869468322190385,0.43933269383026263,0.004335980104660344,1.0,0.023255813953488372,0.009615384615384616,0.028985507246376812,,,0.04390243902439024,0.031578947368421054,,,,,0.004149377593360996,,0.009259259259259259,,,,,,,,,0.012345679012345678,,,,,0.009708737864077669,0.016666666666666666,0.006993006993006993,,0.034782608695652174,
republican,29,republican,9,0.009232728430436167,0.5642714304385625,0.005209764878293,1.0,,0.009615384615384616,,,,0.014634146341463415,,,0.015873015873015872,,,0.02074688796680498,,0.023148148148148147,0.013937282229965157,,,,,,,,,,,,,0.02912621359223301,0.016666666666666666,,,0.02608695652173913,
stormyDaniels,28,controversy,6,0.008914358484559057,0.7403626894942439,0.006599858422743975,1.0,0.18604651162790697,0.019230769230769232,,,,,,,0.015873015873015872,,,,,0.004629629629629629,,,,,,,,,,,,,,,,0.1048951048951049,,,0.011235955056179775
tariff,25,foreignTrade,4,0.00795924864692773,0.9164539485499251,0.0072942848499675675,1.0,,,,,,,,,,,,,,0.023148148148148147,0.013937282229965157,,,,,,,,0.012345679012345678,,0.06666666666666667,,,,,,,,
