concept,t_count,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32
china,21,4,0.0066857688634192934,0.9164539485499251,0.006127199273972757,1.0,,,,,,,,,,,,,,0.009259259259259259,0.04529616724738676,0.009523809523809525,,,,,,,,,0.022222222222222223,,,,,,,,
civilRights,2,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027972027972027972,,,0.0449438202247191
clintonScandal,10,1,0.003183699458771092,1.5185139398778875,0.004834492008525589,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.20408163265306123,,,,,,,,,
controversy,106,19,0.03374721426297357,10.516231896477015,0.02527269502495441,5.0,1.2790697674418605,0.14423076923076925,0.5072463768115942,0.23255813953488372,0.2272727272727273,0.2682926829268293,0.5263157894736842,,0.07936507936507936,,,0.10373443983402489,,0.09259259259259259,,,0.10869565217391304,,,,,0.08849557522123894,0.30864197530864196,,0.022222222222222223,,,0.14563106796116504,0.08333333333333333,0.6993006993006994,,0.32608695652173914,0.11235955056179775
democrat,89,13,0.028334925183062718,10.985384221525402,0.023180648122146406,0.2,,,0.005797101449275362,,,0.010731707317073173,0.002105263157894737,,0.02857142857142857,,,0.024896265560165977,,0.007407407407407408,0.0062717770034843206,,,0.005797101449275362,,,0.003703703703703704,,,0.016326530612244896,,,,0.003883495145631068,0.006666666666666667,,,0.006956521739130435,
economy,87,14,0.027698185291308502,17.623711411475515,0.03140891048662363,5.0,,0.04807692307692308,0.07246376811594203,,,0.04878048780487805,,0.23809523809523808,0.23809523809523808,,,,,0.23148148148148145,0.627177700348432,0.04761904761904762,,0.07246376811594203,0.5128205128205128,,1.0185185185185184,,,,0.2888888888888889,,,,,0.03496503496503497,0.15151515151515152,,
education,5,3,0.001591849729385546,2.4349678884278125,0.0019380514871281539,3.0,,,,0.06976744186046512,,,,,,,,,,,,,,,,,,,,,,,,0.08737864077669902,,,0.09090909090909091,,
election,117,21,0.03724928366762178,11.18167886666937,0.0359107499864016,1.0,0.023255813953488372,0.009615384615384616,0.014492753623188406,0.023255813953488372,,0.00975609756097561,0.010526315789473684,0.2857142857142857,0.1111111111111111,0.38461538461538464,,0.14937759336099585,,0.032407407407407406,0.038327526132404185,0.01904761904761905,0.10869565217391304,,,,0.09259259259259259,,,,0.008888888888888889,,,,0.016666666666666666,0.006993006993006993,0.06060606060606061,0.008695652173913044,0.02247191011235955
energy,5,4,0.001591849729385546,0.9164539485499251,0.0014588569699935136,1.0,,0.009615384615384616,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,0.024691358024691357,,,,,,,,,,
ethics,2,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,5.0,,,,,,,,,,,,,,,,0.04761904761904762,,,,,,,,,,,,,0.08333333333333333,,,,
europeanUnion,9,3,0.0028653295128939827,1.0413926851582251,0.002983933195295774,1.0,,,,,,,,,,,,,,0.004629629629629629,0.010452961672473868,,,,,,,,,,0.022222222222222223,,,,,,,,
extremeRight,4,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,0.009615384615384616,,,,0.004878048780487805,,,,,,0.004149377593360996,,,,,,,,,,,0.012345679012345678,,,,,,,,,,
