,DSI,link,title
0,DSI-0,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/25/trump-first-lady-will-be-1000-miles-apart-when-stormy-daniels-appears-on-60-minutes/,"Trump, first lady will be 1,000 miles apart when Stormy Daniels appears on ‘60 Minutes’"
1,DSI-1,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/25/trump-friend-says-president-told-him-to-expect-one-or-two-more-major-personnel-changes/,Trump may be preparing to make more administration personnel changes
2,DSI-2,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/25/in-a-burst-of-tweets-trump-insists-that-hes-happy-with-his-legal-team/,"In a burst of tweets, Trump insists that he’s happy with his legal team"
3,DSI-3,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/24/white-house-praises-courageous-youths-marching-against-gun-violence/,"White House praises ‘courageous’ youths marching against gun violence, then Trump’s motorcade takes a detour"
4,DSI-4,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/24/when-will-trump-stop-firing-people-and-settle-on-his-a-team/,When will Trump stop firing people and settle on his ‘A-team’?
5,DSI-5,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/23/trump-threatens-to-veto-omnibus-bill-because-it-does-not-address-daca-recipients/,Trump signs $1.3 trillion spending bill despite veto threat on Twitter
6,DSI-6,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/21/trump-criticizes-his-justice-department-for-not-joining-fight-over-arizona-drivers-licenses-for-dreamers/,Trump criticizes his Justice Department for not joining fight over Arizona driver’s licenses for ‘dreamers’
7,DSI-7,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/20/republican-national-committee-spent-big-at-trump-properties-in-february-filings-show/,"Republican National Committee spent big at Trump properties in February, filings show"
8,DSI-8,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/20/in-gop-pep-talk-trump-says-a-democratic-congress-would-mean-radical-policies/,"In GOP pep talk, Trump says a Democratic Congress would mean ‘radical’ policies"
9,DSI-9,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/20/federal-election-officials-failed-to-enforce-campaign-finance-requirements-on-outside-group-in-2010-judge-rules/,"Federal election officials failed to enforce campaign finance requirements on outside group in 2010, judge rules"
10,DSI-10,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/19/christopher-liddell-named-white-house-deputy-chief-of-staff-for-policy-coordination/,Christopher Liddell named White House deputy chief of staff for policy coordination
11,DSI-11,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/18/trump-said-muellers-team-has-13-hardened-democrats-here-are-the-facts/,Trump said Mueller’s team has ‘13 hardened Democrats.’ Here are the facts.
12,DSI-12,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/17/will-trump-convince-kim-jong-un-to-give-up-nuclear-weapons/,Will Trump convince Kim Jong Un to give up nuclear weapons?
13,DSI-13,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/14/in-fundraising-speech-trump-says-he-made-up-facts-in-meeting-with-justin-trudeau/,"In fundraising speech, Trump says he made up trade claim in meeting with Justin Trudeau"
14,DSI-14,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/15/transcript-of-trumps-remarks-at-fundraiser-in-missouri-on-march-14/,Transcript of Trump’s remarks at fundraiser in Missouri on March 14
15,DSI-15,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/13/tillerson-glosses-over-trump-in-first-remarks-since-firing-emphasizing-allies-and-partners/,Tillerson emphasizes allies in first remarks since firing but doesn’t mention Trump
16,DSI-16,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/13/trump-fires-white-house-assistant-john-mcentee-who-promptly-rejoins-trumps-campaign/,"Trump fires White House assistant John McEntee, who promptly rejoins Trump’s campaign"
17,DSI-17,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/12/california-gov-jerry-brown-says-trumps-upcoming-visit-should-focus-on-bridges-not-the-wall/,"California Gov. Jerry Brown says Trump’s upcoming visit should focus on bridges, not the wall"
18,DSI-18,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/10/does-the-president-have-the-power-to-downsize-the-government/,Does the president have the power to downsize the government?
19,DSI-19,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/09/white-house-says-trump-kim-meeting-contingent-on-concrete-verifiable-actions-by-pyongyang/,"White House says Trump-Kim meeting contingent on ‘concrete, verifiable actions’ by Pyongyang"
20,DSI-20,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/06/the-presidents-company-wont-say-how-much-money-it-made-in-foreign-profits-last-year-have-you-got-a-guess/,"President Trump’s company reveals how much foreign profit it donated to the U.S. Treasury: $151,470"
21,DSI-21,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/09/dennis-rodman-praises-trumps-plan-to-meet-with-kim-please-send-my-regards/,Only two people have met both Trump and Kim Jong Un. One is Dennis Rodman.
22,DSI-22,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/06/trump-claims-there-is-no-chaos-in-white-house-but-he-warns-of-future-firings/,"Trump claims ‘there is no chaos’ in White House, but he warns of future firings"
23,DSI-23,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/05/youre-not-going-to-save-anybody-what-the-last-person-to-rebuff-an-independent-counsel-subpoena-would-say-to-sam-nunberg/,‘You’re not going to save anybody’: What the last person to rebuff an independent counsel subpoena would say to Sam Nunberg
24,DSI-24,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/04/trump-trade-adviser-says-no-exceptions-for-allies-on-new-aluminum-and-steel-tariffs/,Trump trade adviser says no exceptions for allies on new aluminum and steel tariffs
25,DSI-25,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/04/trump-says-north-korea-called-up-seeking-talks-with-the-united-states/,"Trump says North Korea ‘called up,’ seeking talks with the United States"
26,DSI-26,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/02/can-the-president-run-the-white-house-like-a-family-business/,Can the president run the White House like a family business?
27,DSI-27,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/02/white-house-softens-tone-on-gun-control-measures-after-trump-meets-with-nra/,White House softens tone on gun-control measures after Trump meets with NRA
28,DSI-28,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/01/trump-attacked-sessions-again-but-can-he-actually-fire-him/,Can Trump fire Sessions?
29,DSI-29,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/29/judge-denies-stormy-danielss-bid-to-expedite-case-against-trump-over-confidential-agreement/,Judge denies Stormy Daniels’s bid to expedite case against Trump over confidential agreement
30,DSI-30,http://www.washingtonpost.com/blogs/post-politics/wp/2018/03/31/will-trump-change-americas-relationship-with-internet-privacy/,Will Trump change America’s relationship with Internet privacy?
31,DSI-31,http://www.washingtonpost.com/blogs/post-politics/wp/2018/04/01/deal-on-daca-no-more-trump-says/,"‘No more DACA deal,’ Trump says as he threatens to ‘stop’ NAFTA if Mexico doesn’t better secure border"
32,DSI-32,http://www.washingtonpost.com/blogs/post-politics/wp/2018/04/02/trump-appeals-judges-decision-to-let-summer-zervos-defamation-case-proceed/,Trump appeals judge’s decision to let Summer Zervos defamation case proceed
